iter	Passed	Remaining
269	1688	3751
270	1694	3745
271	1701	3740
272	1707	3734
273	1715	3730
274	1721	3724
275	1727	3717
276	1733	3710
277	1740	3706
278	1747	3701
279	1754	3697
280	1761	3691
281	1767	3685
282	1773	3678
283	1779	3672
284	1786	3667
285	1792	3660
286	1799	3655
287	1806	3649
288	1812	3643
289	1818	3637
290	1824	3631
291	1830	3623
292	1836	3616
293	1842	3609
294	1848	3603
295	1855	3597
296	1862	3592
297	1868	3586
298	1874	3580
299	1880	3573
300	1887	3567
301	1893	3560
302	1899	3554
303	1905	3548
304	1911	3541
305	1918	3535
306	1924	3529
307	1930	3522
308	1936	3515
309	1942	3509
310	1949	3503
311	1956	3498
312	1963	3493
313	1970	3488
314	1976	3482
315	1982	3475
316	1988	3469
317	1994	3462
318	2001	3456
319	2007	3451
320	2014	3445
321	2020	3438
322	2027	3432
323	2032	3425
324	2038	3418
325	2044	3411
326	2050	3404
327	2056	3398
328	2063	3392
329	2069	3386
330	2076	3381
331	2082	3374
332	2088	3367
333	2094	3360
334	2100	3354
335	2106	3348
336	2112	3341
337	2119	3335
338	2125	3329
339	2131	3323
340	2137	3316
341	2143	3309
342	2150	3304
343	2156	3297
344	2162	3290
345	2169	3284
346	2175	3279
347	2182	3273
348	2188	3267
349	2194	3260
350	2200	3254
351	2206	3247
352	2212	3240
353	2219	3234
354	2225	3228
355	2232	3223
356	2238	3216
357	2244	3210
358	2250	3203
359	2256	3196
360	2262	3189
361	2268	3183
362	2274	3176
363	2280	3170
364	2287	3164
365	2293	3158
366	2299	3151
367	2305	3145
368	2311	3138
369	2317	3132
370	2323	3125
371	2330	3119
372	2337	3114
373	2343	3107
374	2349	3101
375	2355	3095
376	2362	3088
377	2368	3082
378	2375	3077
379	2381	3070
380	2387	3064
381	2394	3059
382	2400	3052
383	2406	3045
384	2412	3039
385	2419	3033
386	2426	3028
387	2433	3023
388	2440	3017
389	2446	3011
390	2453	3005
391	2459	2999
392	2465	2992
393	2472	2986
394	2478	2980
395	2485	2974
396	2491	2968
397	2499	2963
398	2511	2964
399	2517	2958
400	2524	2952
401	2530	2945
402	2536	2938
403	2542	2932
404	2548	2925
405	2554	2919
406	2560	2912
407	2565	2905
408	2571	2898
409	2577	2892
410	2583	2885
411	2589	2878
412	2595	2872
413	2601	2865
414	2607	2859
415	2613	2852
416	2619	2846
417	2626	2839
418	2632	2833
419	2638	2827
420	2645	2821
421	2651	2815
422	2657	2808
423	2664	2802
424	2670	2796
425	2677	2790
426	2683	2784
427	2690	2778
428	2696	2772
429	2703	2766
430	2709	2759
431	2715	2753
432	2721	2746
433	2727	2740
434	2734	2734
435	2740	2728
436	2747	2722
437	2753	2715
438	2759	2709
439	2765	2703
440	2772	2696
441	2778	2690
442	2784	2684
443	2790	2677
444	2797	2671
445	2803	2665
446	2809	2658
447	2815	2652
448	2822	2646
449	2828	2639
450	2834	2633
451	2841	2627
452	2847	2621
453	2854	2615
454	2860	2609
455	2866	2602
456	2872	2596
457	2878	2589
458	2884	2582
459	2890	2576
460	2897	2570
461	2904	2564
462	2910	2558
463	2917	2552
464	2923	2545
465	2929	2539
466	2935	2533
467	2941	2526
468	2947	2520
469	2955	2514
470	2961	2508
471	2967	2502
472	2974	2496
473	2980	2489
474	2986	2483
475	2992	2476
476	2998	2470
477	3005	2464
478	3011	2458
479	3017	2451
480	3023	2445
481	3030	2439
482	3036	2432
483	3042	2426
484	3049	2420
485	3055	2414
486	3061	2407
487	3067	2401
488	3074	2395
489	3080	2388
490	3086	2382
491	3092	2375
492	3098	2369
493	3104	2362
494	3110	2356
495	3117	2350
496	3123	2344
497	3129	2337
498	3135	2330
499	3141	2324
500	3147	2318
501	3153	2311
502	3159	2305
503	3166	2299
504	3172	2293
505	3178	2286
506	3185	2280
507	3191	2274
508	3197	2268
509	3204	2261
510	3210	2255
511	3217	2249
512	3223	2243
513	3229	2237
514	3236	2230
515	3242	2224
516	3248	2217
517	3254	2211
518	3260	2205
519	3267	2199
520	3273	2192
521	3279	2186
522	3286	2180
523	3292	2173
524	3298	2167
525	3304	2161
526	3311	2155
527	3318	2149
528	3326	2144
529	3334	2139
530	3344	2135
531	3354	2131
532	3363	2126
533	3370	2120
534	3377	2114
535	3383	2108
536	3389	2102
537	3396	2095
538	3402	2089
539	3410	2084
540	3417	2078
541	3423	2071
542	3429	2065
543	3435	2059
544	3442	2052
545	3448	2046
546	3455	2040
547	3460	2033
548	3466	2027
549	3473	2021
550	3480	2014
551	3486	2008
552	3492	2001
553	3498	1995
554	3504	1988
555	3510	1982
556	3516	1976
557	3522	1969
558	3529	1963
559	3535	1957
560	3541	1950
561	3548	1944
562	3554	1938
563	3560	1931
564	3566	1925
565	3572	1918
566	3578	1912
567	3585	1906
568	3591	1899
569	3597	1893
570	3603	1886
571	3609	1880
572	3615	1873
573	3621	1867
574	3627	1861
575	3633	1854
576	3640	1848
577	3646	1842
578	3653	1836
579	3659	1829
580	3665	1823
581	3671	1816
582	3678	1810
583	3684	1804
584	3691	1798
585	3697	1791
586	3702	1785
587	3708	1778
588	3715	1772
589	3721	1765
590	3726	1759
591	3732	1752
592	3739	1746
593	3745	1740
594	3752	1734
595	3758	1727
596	3764	1721
597	3770	1715
598	3777	1709
599	3785	1703
600	3792	1697
601	3799	1691
602	3806	1685
603	3814	1679
604	3820	1673
605	3826	1667
606	3832	1660
607	3838	1654
608	3845	1648
609	3852	1642
610	3858	1635
611	3864	1629
612	3870	1622
613	3876	1616
614	3882	1610
615	3888	1603
616	3894	1597
617	3901	1591
618	3908	1584
619	3914	1578
620	3920	1571
621	3925	1565
622	3931	1558
623	3937	1552
624	3944	1546
625	3952	1540
626	3958	1534
627	3965	1527
628	3971	1521
629	3977	1515
630	3983	1508
631	3989	1502
632	3995	1496
633	4002	1489
634	4008	1483
635	4015	1477
636	4020	1470
637	4026	1464
638	4033	1458
639	4039	1451
640	4045	1445
641	4051	1438
642	4057	1432
643	4064	1426
644	4071	1420
645	4076	1413
646	4082	1407
647	4089	1400
648	4094	1394
649	4101	1388
650	4107	1381
651	4113	1375
652	4119	1369
653	4126	1362
654	4132	1356
655	4138	1349
656	4144	1343
657	4150	1337
658	4156	1330
659	4162	1324
660	4169	1318
661	4175	1311
662	4181	1305
663	4187	1298
664	4193	1292
665	4199	1286
666	4205	1279
667	4210	1273
668	4217	1267
669	4224	1261
670	4231	1254
671	4237	1248
672	4244	1242
673	4251	1236
674	4258	1230
675	4264	1223
676	4271	1217
677	4278	1211
678	4284	1205
679	4290	1198
680	4297	1192
681	4303	1186
682	4309	1179
683	4315	1173
684	4321	1167
685	4327	1160
686	4334	1154
687	4340	1148
688	4346	1141
689	4352	1135
690	4359	1129
691	4364	1122
692	4371	1116
693	4377	1110
694	4383	1103
695	4390	1097
696	4396	1091
697	4402	1084
698	4409	1078
699	4415	1072
700	4422	1066
701	4428	1059
702	4434	1053
703	4441	1047
704	4448	1041
705	4454	1034
706	4461	1028
707	4467	1022
708	4473	1015
709	4479	1009
710	4486	1003
711	4492	997
712	4499	990
713	4504	984
714	4511	977
715	4518	971
716	4524	965
717	4530	959
718	4536	952
719	4543	946
720	4549	940
721	4555	933
722	4561	927
723	4567	921
724	4573	914
725	4579	908
726	4585	902
727	4592	895
728	4598	889
729	4604	883
730	4610	876
731	4616	870
732	4622	863
733	4628	857
734	4634	851
735	4641	845
736	4648	838
737	4654	832
738	4660	826
739	4666	819
740	4672	813
741	4677	806
742	4683	800
743	4689	794
744	4697	788
745	4703	781
746	4710	775
747	4717	769
748	4724	763
749	4730	756
750	4737	750
751	4744	744
752	4750	738
753	4757	731
754	4763	725
755	4770	719
756	4776	713
757	4783	706
758	4790	700
759	4811	696
760	4821	690
761	4827	684
762	4834	677
763	4840	671
764	4847	665
765	4854	659
766	4861	652
767	4868	646
768	4875	640
769	4881	633
770	4887	627
771	4893	621
772	4900	614
773	4907	608
774	4914	602
775	4921	596
776	4928	589
777	4935	583
778	4942	577
779	4950	571
780	4957	564
781	4965	558
782	4972	552
783	4979	546
784	4985	539
785	4992	533
786	4998	527
787	5005	520
788	5012	514
789	5020	508
790	5026	502
791	5033	495
792	5039	489
793	5047	483
794	5053	476
795	5060	470
796	5067	464
797	5074	457
798	5081	451
799	5087	445
800	5094	438
801	5101	432
802	5107	426
803	5114	419
804	5121	413
805	5128	407
806	5135	400
807	5142	394
808	5149	388
809	5155	381
810	5162	375
811	5169	369
812	5176	362
813	5183	356
814	5190	350
815	5196	343
816	5203	337
817	5210	331
818	5217	324
819	5224	318
820	5232	312
821	5239	305
822	5246	299
823	5252	293
824	5259	286
825	5265	280
826	5272	274
827	5279	267
828	5287	261
829	5294	255
830	5301	248
831	5307	242
832	5314	236
833	5320	229
834	5327	223
835	5334	216
836	5341	210
837	5348	204
838	5355	197
839	5362	191
840	5369	185
841	5376	178
842	5383	172
843	5390	166
844	5397	159
845	5406	153
846	5413	146
847	5420	140
848	5427	134
849	5434	127
850	5440	121
851	5448	115
852	5455	108
853	5462	102
854	5470	95
855	5476	89
856	5483	83
857	5490	76
858	5497	70
859	5504	64
860	5511	57
861	5517	51
862	5524	44
863	5531	38
864	5537	32
865	5544	25
866	5551	19
867	5558	12
868	5565	6
869	5572	0
