iter	RMSE
0	141.4342894
1	136.3882626
2	131.6895693
3	127.1609434
4	122.7944603
5	118.6553413
6	114.6816202
7	110.9376289
8	107.4531437
9	104.1697422
10	100.9646006
11	97.88973413
12	95.0299967
13	92.29618959
14	89.59984749
15	87.11316309
16	84.81636812
17	82.57806157
18	80.4109093
19	78.46087254
20	76.46864729
21	74.71431715
22	73.00236586
23	71.40859024
24	69.83384417
25	68.38896041
26	67.04344387
27	65.75525367
28	64.459335
29	63.29708322
30	62.1988628
31	61.11834816
32	60.07469993
33	59.20816778
34	58.25293071
35	57.44173128
36	56.62236107
37	55.85372969
38	55.18331906
39	54.54490341
40	53.9011754
41	53.26667057
42	52.69054319
43	52.12927192
44	51.59404695
45	51.05771413
46	50.58753897
47	50.10431525
48	49.69605982
49	49.3112516
50	48.89256613
51	48.55589674
52	48.1684639
53	47.83939932
54	47.56718112
55	47.21775301
56	46.89085249
57	46.60982249
58	46.33660178
59	46.10405201
60	45.88330275
61	45.60896546
62	45.39517295
63	45.16733187
64	44.95283014
65	44.76648774
66	44.59306793
67	44.39811493
68	44.22156637
69	44.02750419
70	43.874282
71	43.65200884
72	43.45819477
73	43.31063803
74	43.13143549
75	42.9840485
76	42.81204103
77	42.66329603
78	42.53932713
79	42.36604917
80	42.22703496
81	42.10104924
82	41.9859211
83	41.84268945
84	41.72155634
85	41.58522695
86	41.47944255
87	41.32689587
88	41.23468738
89	41.1270761
90	41.04049548
91	40.93364872
92	40.82652207
93	40.74757837
94	40.66177609
95	40.560999
96	40.47215551
97	40.39180518
98	40.29087304
99	40.20885546
100	40.10310968
101	39.99893528
102	39.83279131
103	39.74766556
104	39.63874059
105	39.57124251
106	39.47644474
107	39.42372714
108	39.37628842
109	39.30710806
110	39.20687089
111	39.13287993
112	39.04116727
113	38.98372408
114	38.8654663
115	38.7893421
116	38.7022845
117	38.63626865
118	38.5835841
119	38.51867105
120	38.42035899
121	38.34038472
122	38.25788522
123	38.14608916
124	38.07624273
125	37.99328103
126	37.90090037
127	37.83310805
128	37.79254359
129	37.73800103
130	37.68231826
131	37.62966625
132	37.57853812
133	37.52101982
134	37.45607369
135	37.39702578
136	37.35639856
137	37.30199408
138	37.24708375
139	37.17752179
140	37.11001884
141	37.05740935
142	37.01640003
143	36.96693838
144	36.90424957
145	36.84733503
146	36.80258452
147	36.75686201
148	36.66937803
149	36.61491664
150	36.5488262
151	36.51598774
152	36.46175944
153	36.39827986
154	36.26602502
155	36.1996883
156	36.13405206
157	36.08535084
158	36.01718593
159	35.93142646
160	35.88927523
161	35.81766539
162	35.7560363
163	35.70362709
164	35.66016782
165	35.57519543
166	35.48098946
167	35.44627165
168	35.39128913
169	35.32974047
170	35.28520832
171	35.25275639
172	35.1377982
173	35.07935175
174	34.99276387
175	34.9421455
176	34.88261862
177	34.81037168
178	34.73074743
179	34.6640719
180	34.6306196
181	34.56928916
182	34.54252486
183	34.49183737
184	34.39741478
185	34.32322093
186	34.27715657
187	34.22862288
188	34.189696
189	34.11733916
190	34.09176314
191	34.0501818
192	34.01442414
193	33.98427537
194	33.93857425
195	33.8880052
196	33.84456289
197	33.81096258
198	33.77577647
199	33.7502427
200	33.69398808
201	33.5800152
202	33.53939451
203	33.50191093
204	33.43669657
205	33.39651388
206	33.33699601
207	33.27435826
208	33.22013223
209	33.18573015
210	33.10314278
211	33.07933628
212	33.04356364
213	32.9735813
214	32.93183684
215	32.90246965
216	32.85517577
217	32.79671453
218	32.77393614
219	32.72458975
220	32.64534022
221	32.60591751
222	32.54286185
223	32.48429454
224	32.45236743
225	32.42544237
226	32.38940269
227	32.33044333
228	32.25993774
229	32.22856856
230	32.19601231
231	32.08646791
232	32.03640867
233	31.98596264
234	31.95402646
235	31.89962367
236	31.86848657
237	31.82096462
238	31.75824696
239	31.72270285
240	31.6633571
241	31.62445647
242	31.58786431
243	31.55271676
244	31.50181154
245	31.47096541
246	31.42592274
247	31.39038282
248	31.35113893
249	31.31104517
250	31.26427842
251	31.23815845
252	31.20348927
253	31.1508104
254	31.1194686
255	31.05730108
256	31.01236499
257	30.96186274
258	30.92816552
259	30.89238823
260	30.8536408
261	30.79312507
262	30.75913317
263	30.73390563
264	30.70998576
265	30.66953006
266	30.64151805
267	30.59974373
268	30.55105165
269	30.51927875
270	30.48640048
271	30.4556706
272	30.40828849
273	30.35784105
274	30.28422303
275	30.24323032
276	30.21277108
277	30.1776939
278	30.1398562
279	30.08818917
280	30.04404233
281	30.00862531
282	29.97233503
283	29.90515167
284	29.87932993
285	29.85620546
286	29.82546848
287	29.80549777
288	29.78374755
289	29.76487068
290	29.72580954
291	29.68480484
292	29.66476581
293	29.63221713
294	29.61141205
295	29.58700722
296	29.55690441
297	29.51639098
298	29.48419429
299	29.43895844
300	29.40126235
301	29.36477231
302	29.3506305
303	29.31658987
304	29.28848684
305	29.23797595
306	29.20814754
307	29.17937376
308	29.14487848
309	29.12410775
310	29.08607712
311	29.03899309
312	29.01101361
313	28.99023769
314	28.94435843
315	28.91160314
316	28.86950907
317	28.84635354
318	28.83194964
319	28.81210973
320	28.78266045
321	28.76772337
322	28.72882463
323	28.67857748
324	28.64947689
325	28.59543797
326	28.55991255
327	28.51764426
328	28.47854487
329	28.4458707
330	28.41978695
331	28.36633855
332	28.33516063
333	28.31511296
334	28.27491042
335	28.24487525
336	28.22494379
337	28.20824372
338	28.19101478
339	28.16151935
340	28.13292284
341	28.11839798
342	28.09603079
343	28.07363346
344	28.01670787
345	27.98002651
346	27.95627032
347	27.93426156
348	27.91277657
349	27.88203169
350	27.86161059
351	27.8319565
352	27.80887276
353	27.7806379
354	27.7354957
355	27.70816437
356	27.68168034
357	27.65517978
358	27.63102618
359	27.59746284
360	27.57108359
361	27.54979525
362	27.52430689
363	27.49568965
364	27.45205943
365	27.41150732
366	27.38496697
367	27.3540848
368	27.32581159
369	27.30090015
370	27.2836422
371	27.25385338
372	27.2314475
373	27.20921196
374	27.18158358
375	27.14613661
376	27.12162391
377	27.08504995
378	27.06548856
379	27.0520621
380	27.0381928
381	26.99875598
382	26.97322617
383	26.9515772
384	26.92750548
385	26.90620804
386	26.87210241
387	26.84286215
388	26.82717698
389	26.80583995
390	26.78424686
391	26.74121061
392	26.72050847
393	26.68396417
394	26.6635272
395	26.63478769
396	26.61234219
397	26.59493226
398	26.55956843
399	26.5328034
400	26.51010933
401	26.49549551
402	26.46129201
403	26.44319989
404	26.4250676
405	26.40150799
406	26.38362283
407	26.36521906
408	26.34076967
409	26.32055025
410	26.29763288
411	26.2852519
412	26.24958845
413	26.22347877
414	26.20566749
415	26.19262724
416	26.15637181
417	26.13156758
418	26.08031499
419	26.05804863
420	26.03004233
421	26.01528959
422	25.99912674
423	25.97301484
424	25.95766514
425	25.93508203
426	25.9179169
427	25.90381912
428	25.88859612
429	25.8651576
430	25.84145759
431	25.82073044
432	25.80004199
433	25.78119119
434	25.76223763
435	25.74218206
436	25.72367017
437	25.704159
438	25.67905798
439	25.65362294
440	25.63967575
441	25.60054056
442	25.58419497
443	25.56889157
444	25.53340678
445	25.50619909
446	25.47900518
447	25.4607977
448	25.43530032
449	25.41864497
450	25.40462959
451	25.38982205
452	25.36761022
453	25.34232265
454	25.33358044
455	25.31237002
456	25.26159519
457	25.24593612
458	25.22585334
459	25.2024923
460	25.18491328
461	25.14468356
462	25.12954298
463	25.10842677
464	25.09794925
465	25.07894272
466	25.06251599
467	25.0405289
468	25.0267401
469	25.01061504
470	24.99915695
471	24.97376133
472	24.95247606
473	24.92632327
474	24.89979828
475	24.87428411
476	24.85179251
477	24.82011649
478	24.80770842
479	24.79715107
480	24.78165794
481	24.7583851
482	24.74245761
483	24.72497492
484	24.6849283
485	24.66425602
486	24.64869051
487	24.63305233
488	24.61225456
489	24.59382903
490	24.5771299
491	24.55785957
492	24.54506413
493	24.51948895
494	24.50033044
495	24.48111796
496	24.46656538
497	24.44355918
498	24.4326196
499	24.41614806
500	24.38364366
501	24.36205403
502	24.34471802
503	24.30329221
504	24.28077909
505	24.26489214
506	24.24314873
507	24.20661936
508	24.18268007
509	24.16733418
510	24.13094372
511	24.11636751
512	24.09852185
513	24.0791486
514	24.04860704
515	24.03163567
516	24.01096898
517	23.99499992
518	23.96807901
519	23.95621973
520	23.94051519
521	23.92525177
522	23.90970705
523	23.88980162
524	23.86656276
525	23.84894258
526	23.83379747
527	23.81741532
528	23.8011823
529	23.78700747
530	23.76793792
531	23.74801425
532	23.73676298
533	23.72178637
534	23.7027598
535	23.68981484
536	23.669429
537	23.6497108
538	23.63386384
539	23.61542632
540	23.59737938
541	23.58155501
542	23.56106992
543	23.54323252
544	23.52856977
545	23.50570007
546	23.48070571
547	23.47241322
548	23.46267454
549	23.44033427
550	23.41783611
551	23.40231124
552	23.38067232
553	23.36479674
554	23.35227554
555	23.33168229
556	23.30785338
557	23.29160994
558	23.27672336
559	23.26176499
560	23.24251102
561	23.23170269
562	23.2168619
563	23.19949316
564	23.18109392
565	23.15899523
566	23.13540498
567	23.11977666
568	23.101721
569	23.08796024
570	23.06540489
571	23.04675165
572	23.03165009
573	23.01581037
574	23.00566274
575	22.98954132
576	22.97220426
577	22.96040601
578	22.94367553
579	22.93217459
580	22.91248431
581	22.89168204
582	22.86466162
583	22.84386538
584	22.82589849
585	22.81099828
586	22.80611312
587	22.78917361
588	22.76887338
589	22.75065994
590	22.73128077
591	22.71414832
592	22.70080312
593	22.67917223
594	22.66578728
595	22.64944485
596	22.62778438
597	22.61429826
598	22.59647095
599	22.58369403
600	22.57676727
601	22.56052926
602	22.53994851
603	22.521615
604	22.5079384
605	22.49503768
606	22.47677971
607	22.46361923
608	22.4476573
609	22.43497686
